gameId,trialNum,repNum,tangram,condition,partial_length,partial,text
22dyGMRgestp8u5Lc,0,0,C,2_thin,1,jumping,jumping off building with hands in the air
22dyGMRgestp8u5Lc,0,0,C,2_thin,2,jumping off,jumping off building with hands in the air
22dyGMRgestp8u5Lc,0,0,C,2_thin,3,jumping off building,jumping off building with hands in the air
22dyGMRgestp8u5Lc,0,0,C,2_thin,4,jumping off building with,jumping off building with hands in the air
22dyGMRgestp8u5Lc,0,0,C,2_thin,5,jumping off building with hands,jumping off building with hands in the air
22dyGMRgestp8u5Lc,0,0,C,2_thin,6,jumping off building with hands in,jumping off building with hands in the air
22dyGMRgestp8u5Lc,0,0,C,2_thin,7,jumping off building with hands in the,jumping off building with hands in the air
22dyGMRgestp8u5Lc,0,0,C,2_thin,8,jumping off building with hands in the air,jumping off building with hands in the air
22dyGMRgestp8u5Lc,1,0,G,2_thin,1,like,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,1,0,G,2_thin,2,like the,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,1,0,G,2_thin,3,like the a,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,1,0,G,2_thin,4,like the a high,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,1,0,G,2_thin,5,like the a high heeled,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,1,0,G,2_thin,6,like the a high heeled shoe,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,1,0,G,2_thin,7,like the a high heeled shoe tough,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,1,0,G,2_thin,8,like the a high heeled shoe tough one,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,2,0,H,2_thin,1,no,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,2,no arms,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,3,no arms not,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,4,no arms not legs,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,5,no arms not legs like,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,6,no arms not legs like a,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,7,no arms not legs like a necktie,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,8,no arms not legs like a necktie with,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,9,no arms not legs like a necktie with the,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,10,no arms not legs like a necktie with the bottom,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,11,no arms not legs like a necktie with the bottom turned,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,12,no arms not legs like a necktie with the bottom turned slightly,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,13,no arms not legs like a necktie with the bottom turned slightly to,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,14,no arms not legs like a necktie with the bottom turned slightly to the,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,2,0,H,2_thin,15,no arms not legs like a necktie with the bottom turned slightly to the right,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,3,0,B,2_thin,1,like,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
22dyGMRgestp8u5Lc,3,0,B,2_thin,2,like a,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
22dyGMRgestp8u5Lc,3,0,B,2_thin,3,like a baby,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
22dyGMRgestp8u5Lc,3,0,B,2_thin,4,like a baby sitting,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
22dyGMRgestp8u5Lc,3,0,B,2_thin,5,like a baby sitting on,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
22dyGMRgestp8u5Lc,3,0,B,2_thin,6,like a baby sitting on floor,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
22dyGMRgestp8u5Lc,3,0,B,2_thin,7,like a baby sitting on floor with,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
